image_idx_0_based,image_z_1_based,png_path
9,10,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z010.png
10,11,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z011.png
11,12,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z012.png
25,26,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z026.png
26,27,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z027.png
27,28,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z028.png
28,29,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z029.png
29,30,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z030.png
30,31,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z031.png
31,32,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z032.png
38,39,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z039.png
39,40,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z040.png
51,52,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z052.png
52,53,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z053.png
53,54,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z054.png
54,55,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z055.png
101,102,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png
102,103,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z103.png
112,113,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z113.png
113,114,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z114.png
122,123,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z123.png
123,124,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z124.png
124,125,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z125.png
125,126,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z126.png
129,130,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z130.png
130,131,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z131.png
153,154,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z154.png
156,157,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z157.png
157,158,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z158.png
158,159,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z159.png
161,162,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z162.png
168,169,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z169.png
169,170,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z170.png
170,171,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z171.png
177,178,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z178.png
178,179,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z179.png
179,180,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z180.png
180,181,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z181.png
182,183,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z183.png
183,184,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z184.png
184,185,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z185.png
185,186,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z186.png
202,203,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z203.png
206,207,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z207.png
207,208,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z208.png
214,215,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z215.png
215,216,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z216.png
216,217,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z217.png
217,218,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z218.png
218,219,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z219.png
