image_idx_0_based,image_z_1_based,png_path
0,1,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z001.png
1,2,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z002.png
2,3,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z003.png
3,4,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z004.png
12,13,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z013.png
22,23,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z023.png
23,24,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z024.png
24,25,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z025.png
25,26,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z026.png
26,27,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z027.png
27,28,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z028.png
28,29,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z029.png
29,30,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z030.png
36,37,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z037.png
37,38,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z038.png
38,39,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z039.png
39,40,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z040.png
40,41,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z041.png
41,42,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z042.png
42,43,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z043.png
43,44,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z044.png
44,45,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z045.png
45,46,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z046.png
46,47,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z047.png
47,48,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z048.png
48,49,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z049.png
49,50,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z050.png
50,51,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z051.png
51,52,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z052.png
52,53,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z053.png
102,103,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z103.png
106,107,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z107.png
109,110,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z110.png
110,111,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z111.png
111,112,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z112.png
112,113,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z113.png
113,114,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z114.png
124,125,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z125.png
125,126,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z126.png
126,127,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z127.png
129,130,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z130.png
130,131,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z131.png
153,154,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z154.png
156,157,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z157.png
161,162,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z162.png
168,169,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z169.png
169,170,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z170.png
170,171,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z171.png
177,178,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z178.png
178,179,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z179.png
